https://item.jd.com/100002967883.html,"['京鲜生金枕头榴莲', '100002967883', '2.25kg', '泰国、越南', '金枕头', '鲜榴莲', '1501-2000g', '控温', '进口']"
t***残,star5,出肉挺多的，就是有点熟过了，不过冻了当冰淇淋还不错，又在买了一单， 希望，可以熟度刚刚好，最好是干包大黄肉，哈哈哈哈哈哈哈哈
u***t,star5,这次是回购的，品质依然是让人欣喜，1__1.5Kg的巴掌榴莲，居然完整的开出这么多的榴莲肉，拍图片时没忍住先吃了一块，榴莲口感软软糯糯甜甜的，真好！回购！好评！
我***炸,star5,物流很快，总共收到了四个榴莲，基本开出来都是三房肉，成熟度都是适中的，有一个榴莲是坏的的，表面发黑有虫眼，里面的果肉也化水了，售后处理很迅速赞
u***i,star5,口感丝滑奶香，且足称，到货四个成熟度刚刚好，值得无限回购。期待掌柜下次发大点的啊！这次的数量多都是小的开榴莲盲盒时的体验感略差。
j***x,star5,买过好几回，整体来说很好，肉挺多，就是有次回老家，打算待两天回来吃，忘记放冰箱了，回来打开门一股臭味，太熟了，吃着口感不是很好，后来就烤着吃了，味道也还行
小***啦,star5,不错，就是有时候太热了，我的身子一动也不动，还好有一点凉，就是不想动。，还可以，挺满意，这个太熟了。太甜了，还行还行吧唧吧唧
傲***9,star5,618促销的时候买的价格也很优惠，京东的物流不得不说还是很快的，包装得也很好，可能天气太热了，熟得有点快，口感差了一点，总的来说还算不错
B***Y,star5,开始在评论区说开的肉很少，可是我拿到的是报恩的耶，小榴莲开了五房大肉挺满意的，而且才300块，划算，没有称多重，2个小果，一个大果，皮包肉多 口感不错
1***5,star3,只有三房肉，每一个都是，而且果子都挺畸形的
z***n,star5,"收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不竖起大拇指。下次需要的时候我收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，挺满意的, 个人真的很喜欢，完全超出我的期望值，发货速度比较快，包装很仔细、严实，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，感谢卖家。还会再来的，到时候麻烦掌柜给个优惠哦！"
j***r,star5,特别新鲜的榴莲，收到货就有浓浓的榴莲香，虽然没炸口，但是我知道它熟了。果断打开，干包大黄肉，糯叽叽，太好吃了
j***b,star5,买了好多次，四五月份东部榴莲完美，六月份之后的南部榴莲问题多多，买了四五次全部退掉，这次终于买到好的了，奥利给，下次搞活动再来一箱
爱***-,star5,物流超级快 昨天发的货 今天中午就到了 送货上门的 出肉率也很高 很甜 很香 到手十五斤左右 马上就可以吃了
大***少,star5,太棒了，京东上买榴莲是第一次，一开始很担心坏包死包，但是收到的那一刻香气扑鼻我就知道买对了，果然打开后，满满5房肉，而且是干包，果肉很大！口感甜度非常棒，由于太激动打开就吃了，过会儿才想起来拍照片，太棒了，下次还会再买，榴莲狂热爱好者?????
燃***哟,star5,感谢京东为我实现榴莲自由，线上线下买了许多次榴莲，感觉还是在这个上面更划算，第二次买有个死包立马就退款，不得不说售后很NICE
z***3,star5,这次因为太好吃吃完才知道要拍照每次的果型都超好的，都是这样奶油尖尖刺的果，超级好吃香甜软糯，我不是拖，上次也有一次坏果了，京东客服爽全额退款！给力！这次是真的好吃啊，最愉快的一次才三斤多斤竟然吃到好甜又饱满有五房肉！
j***v,star5,这是一个好评模版，不要看了下面都是废话。因为我很懒不想每个宝贝都写好评，所以才模仿网友的好评模版，但是这个宝贝不管是质量款式还是性价比都是我喜欢的，如果是不喜欢的那我就会很生气，然后这个模版就变成了各种喋喋不休的吐槽，自然就不会撒下这个好评给各位一个参考，本宝贝还是极好的
